Total terms:1806	Total Docs:967
-----------------------------------------------------------
NO.	Term	Coverage_New	Coverage_Total
1062	edited	0	0.999
1063	editing	0	0.999
1064	edtior	0	0.999
1065	eg	0	0.999
1066	ekp.log	0	0.999
1067	ekp000104799	0	0.999
1068	ekp000278716	0	0.999
1069	ekp000464829	0	0.999
1070	ekp000498179	0	0.999
1071	ekp000631675	0	0.999
1072	ekp001222	0	0.999
1073	ekp001843947	0	0.999
1074	ekp001872862	0	0.999
1075	ekp002283279	0	0.999
1076	ekp014604253	0	0.999
1077	ekp10	0	0.999
1078	ekpxml	0	0.999
1079	ekpxxxxxx	0	0.999
1080	elearning	0	0.999
1081	elective	0	0.999
1082	electives	0	0.999
1083	ell.once	0	0.999
1084	employment	0	0.999
1085	enabling	0	0.999
1086	encountered	0	0.999
1087	enddate	0	0.999
1088	englisch	0	0.999
1089	enhance	0	0.999
1090	enhancement	0	0.999
1091	enrolments	0	0.999
1092	enter	0	0.999
1093	entire	0	0.999
1094	entries	0	0.999
1095	environment	0	0.999
1096	equal	0	0.999
1097	ern	0	0.999
1098	escalation	0	0.999
1099	esi	0	0.999
1100	esig	0	0.999
1101	essay	0	0.999
1102	estimate	0	0.999
1103	etc	0	0.999
1104	every	0	0.999
1105	exam's	0	0.999
1106	exceeded	0	0.999
1107	exceeding	0	0.999
1108	excel	0	0.999
1109	exceptional	0	0.999
1110	exceptionally	0	0.999
1111	expired	0	0.999
1112	expires	0	0.999
1113	expiring	0	0.999
1114	export	0	0.999
1115	expressions	0	0.999
1116	extend	0	0.999
1117	externals	0	0.999
1118	extra	0	0.999
1119	extract	0	0.999
1120	extremely	0	0.999
1121	f1	0	0.999
1122	fail	0	0.999
1123	fails	0	0.999
1124	failure	0	0.999
1125	fargo	0	0.999
1126	feature	0	0.999
1127	features	0	0.999
1128	feed	0	0.999
1129	feedback	0	0.999
1130	fees	0	0.999
1131	few	0	0.999
1132	fields	0	0.999
1133	figures	0	0.999
1134	filled	0	0.999
1135	filtering	0	0.999
1136	finance	0	0.999
1137	find	0	0.999
1138	finish	0	0.999
1139	finnair	0	0.999
1140	fixing	0	0.999
1141	flags	0	0.999
1142	folder	0	0.999
1143	following	0	0.999
1144	formatted	0	0.999
1145	former	0	0.999
1146	found	0	0.999
1147	free	0	0.999
1148	functioning	0	0.999
1149	funny	0	0.999
1150	future	0	0.999
1151	fwd	0	0.999
1152	garden	0	0.999
1153	gear	0	0.999
1154	general	0	0.999
1155	generated	0	0.999
1156	generator	0	0.999
1157	geographic	0	0.999
1158	geographical	0	0.999
1159	give	0	0.999
1160	giving	0	0.999
1161	glitch	0	0.999
1162	global	0	0.999
1163	globaldemo.netd	0	0.999
1164	goes	0	0.999
1165	goldus.netd	0	0.999
1166	gone	0	0.999
1167	grammar	0	0.999
1168	grant	0	0.999
1169	granting	0	0.999
1170	guarantee	0	0.999
1171	guidelines	0	0.999
1172	handling	0	0.999
1173	hanging	0	0.999
1174	hasn't	0	0.999
1175	health	0	0.999
1176	her	0	0.999
1177	high	0	0.999
1178	highlight	0	0.999
1179	hihope	0	0.999
1180	hire	0	0.999
1181	hkt	0	0.999
1182	hold	0	0.999
1183	holiday	0	0.999
1184	horizontal	0	0.999
1185	hosted	0	0.999
1186	hr	0	0.999
1187	hra	0	0.999
1188	hs	0	0.999
1189	https	0	0.999
1190	hungarian	0	0.999
1191	hyphenator.js	0	0.999
1192	iba	0	0.999
1193	ical	0	0.999
1194	icd	0	0.999
1195	ice	0	0.999
1196	icons	0	0.999
1197	ics	0	0.999
1198	identifying	0	0.999
1199	idexx	0	0.999
1200	ids	0	0.999
1201	ie11	0	0.999
1202	ie7	0	0.999
1203	ilc	0	0.999
1204	ilt	0	0.999
1205	images	0	0.999
1206	importing	0	0.999
